iter	RMSE
0	4496.052349
1	4359.060044
2	4213.407243
3	4085.506715
4	3975.130663
5	3866.689532
6	3772.68422
7	3670.881803
8	3574.94834
9	3485.462344
10	3403.424643
11	3331.3559
12	3261.723259
13	3196.82654
14	3131.039995
15	3077.883629
16	3032.6739
17	2990.413564
18	2954.682286
19	2921.513857
20	2876.176056
21	2831.896308
22	2805.031039
23	2765.720292
24	2735.015347
25	2712.273994
26	2687.115933
27	2662.831792
28	2640.251202
29	2622.863085
30	2601.578715
31	2582.598689
32	2565.594954
33	2552.24681
34	2538.769208
35	2519.205218
36	2500.150614
37	2480.867938
38	2464.954579
39	2450.677463
40	2439.841792
41	2432.937144
42	2424.481225
43	2415.169391
44	2401.436833
45	2393.450206
46	2377.147839
47	2372.231779
48	2366.899943
49	2356.183786
50	2346.289329
51	2336.151484
52	2328.382238
53	2315.978226
54	2311.355312
55	2306.841262
56	2297.59484
57	2292.786444
58	2287.733396
59	2276.590447
60	2267.737231
61	2262.116927
62	2256.352377
63	2251.400395
64	2245.820866
65	2241.872806
66	2236.098367
67	2228.49553
68	2223.212926
69	2219.764807
70	2216.923059
71	2212.641564
72	2206.82956
73	2203.635303
74	2198.472452
75	2196.575489
76	2190.136375
77	2188.257241
78	2182.154933
79	2180.141041
80	2176.45751
81	2172.057151
82	2165.705418
83	2162.568337
84	2155.347618
85	2152.834875
86	2150.377468
87	2145.75266
88	2142.859478
89	2140.798245
90	2136.543435
91	2132.904562
92	2129.044668
93	2126.267239
94	2124.479141
95	2121.800448
96	2117.187897
97	2112.141232
98	2111.002204
99	2109.072831
100	2105.945532
101	2104.706786
102	2101.160349
103	2098.255078
104	2091.149381
105	2088.14059
106	2084.519246
107	2080.20119
108	2077.320734
109	2073.101997
110	2068.819858
111	2065.204249
112	2061.449031
113	2057.795255
114	2055.273762
115	2053.505287
116	2049.285569
117	2047.092235
118	2045.257262
119	2044.382957
120	2038.159379
121	2036.518538
122	2033.674121
123	2030.707904
124	2028.376224
125	2024.664629
126	2022.249601
127	2020.195425
128	2016.71963
129	2014.307914
130	2013.061741
131	2009.931775
132	2007.741696
133	2004.762839
134	2003.467021
135	2000.302277
136	1997.78835
137	1996.940656
138	1995.609288
139	1993.772549
140	1991.647209
141	1989.618912
142	1986.364721
143	1984.252692
144	1982.293916
145	1980.221161
146	1978.305529
147	1977.190563
148	1974.111996
149	1972.231141
150	1969.877163
151	1968.422226
152	1965.352447
153	1963.419601
154	1961.778823
155	1958.217179
156	1956.925341
157	1956.028792
158	1953.511292
159	1952.206906
160	1950.953728
161	1949.565687
162	1948.210837
163	1947.671381
164	1946.360607
165	1943.528046
166	1940.392825
167	1938.790621
168	1937.804848
169	1936.456175
170	1934.439618
171	1933.247882
172	1932.600784
173	1931.454555
174	1928.598417
175	1927.65157
176	1925.366719
177	1922.975864
178	1921.985399
