iter	Passed	Remaining
0	154	153913
1	157	78525
2	160	53300
3	163	40742
4	166	33210
5	171	28371
6	174	24733
7	178	22155
8	182	20050
9	185	18343
10	188	16933
11	191	15779
12	194	14781
13	197	13924
14	200	13194
15	203	12545
16	207	11983
17	210	11478
18	213	11022
19	216	10630
20	220	10256
21	223	9933
22	226	9622
23	229	9338
24	232	9082
25	235	8839
26	239	8617
27	242	8415
28	245	8224
29	248	8037
30	251	7875
31	255	7721
32	258	7569
33	261	7424
34	264	7285
35	267	7157
36	270	7035
37	273	6920
38	276	6811
39	279	6709
40	283	6620
41	286	6526
42	289	6435
43	292	6355
44	295	6274
45	298	6192
46	301	6117
47	304	6043
48	307	5975
49	311	5909
50	313	5842
51	316	5779
52	320	5717
53	323	5664
54	326	5608
55	329	5558
56	332	5507
57	335	5453
58	338	5405
59	342	5361
60	345	5324
61	350	5298
62	354	5279
63	359	5263
64	363	5232
65	368	5208
66	372	5186
67	376	5163
68	380	5135
69	384	5104
70	389	5101
71	393	5076
72	397	5053
73	402	5034
74	406	5008
75	409	4981
76	413	4955
77	417	4936
78	421	4913
79	425	4897
80	429	4871
81	433	4847
82	436	4827
83	440	4805
84	444	4784
85	448	4763
86	453	4757
87	457	4736
88	460	4712
89	464	4696
90	467	4674
91	471	4655
92	475	4633
93	479	4616
94	482	4597
95	485	4575
96	489	4554
97	492	4532
98	495	4511
99	498	4490
100	502	4470
101	505	4451
102	508	4430
103	512	4413
104	516	4398
105	519	4380
106	523	4364
107	526	4348
108	530	4333
109	533	4317
110	537	4306
111	541	4291
112	544	4274
113	547	4258
114	551	4242
115	555	4231
116	559	4218
117	562	4204
118	566	4191
119	570	4186
120	575	4180
121	579	4168
122	583	4157
123	586	4141
124	591	4140
125	594	4125
126	598	4116
127	602	4105
128	606	4097
129	610	4085
130	615	4083
131	619	4075
132	623	4066
133	627	4054
134	630	4042
135	635	4035
136	638	4022
137	641	4008
138	644	3994
139	647	3979
140	651	3966
141	653	3951
142	657	3938
143	660	3927
144	663	3913
145	667	3903
146	670	3893
147	674	3881
148	677	3868
149	680	3855
150	683	3843
151	686	3832
152	690	3821
153	693	3810
154	696	3799
155	700	3789
156	703	3776
157	706	3763
158	709	3750
159	711	3737
160	714	3725
161	718	3715
162	721	3704
163	724	3692
164	728	3684
165	731	3675
166	734	3665
167	737	3654
168	741	3644
169	745	3638
170	748	3630
171	752	3621
172	755	3612
173	760	3608
174	763	3601
175	767	3590
176	770	3583
177	774	3578
178	778	3571
179	782	3562
180	785	3552
181	788	3544
182	792	3537
183	795	3529
184	799	3520
185	802	3511
186	806	3505
187	809	3498
188	813	3491
189	817	3484
190	820	3476
191	824	3468
192	827	3460
193	830	3450
194	833	3440
195	836	3430
196	839	3423
197	842	3413
198	845	3403
199	848	3394
200	851	3384
201	854	3375
202	857	3365
203	860	3357
204	863	3347
205	865	3337
206	868	3328
207	871	3320
208	874	3310
209	878	3303
210	880	3293
211	883	3284
212	886	3275
213	889	3266
214	892	3258
215	895	3249
216	898	3240
217	900	3231
218	903	3223
219	907	3217
220	910	3209
221	913	3199
222	916	3192
223	919	3184
224	922	3178
225	926	3171
226	929	3164
227	932	3156
228	935	3148
229	938	3141
230	941	3134
231	945	3128
232	948	3122
233	952	3117
234	955	3111
235	959	3106
236	963	3101
237	966	3094
238	969	3088
239	973	3082
240	976	3076
